index, name                                                   , type      , volume-mm3 
135 , ctx-rh-inferiorparietal_10                             , cortical  ,      922.0 
134 , ctx-rh-inferiorparietal_9                              , cortical  ,     1000.0 
494 , Left-Hippocampus_HATA                                  , subcortical,       77.0 
495 , Left-Hippocampus_Fimbria                               , subcortical,       98.0 
139 , ctx-rh-precuneus_2                                     , cortical  ,      846.0 
138 , ctx-rh-precuneus_1                                     , cortical  ,      613.0 
490 , Left-Hippocampus_CA1                                   , subcortical,      909.0 
491 , Left-Hippocampus_CA3                                   , subcortical,      301.0 
492 , Left-Hippocampus_CA4                                   , subcortical,      375.0 
493 , Left-Hippocampus_GCDG                                  , subcortical,      422.0 
24  , ctx-rh-rostralmiddlefrontal_1                          , cortical  ,     1782.0 
25  , ctx-rh-rostralmiddlefrontal_2                          , cortical  ,     1368.0 
26  , ctx-rh-rostralmiddlefrontal_3                          , cortical  ,     1128.0 
27  , ctx-rh-rostralmiddlefrontal_4                          , cortical  ,     1708.0 
20  , ctx-rh-parsopercularis_1                               , cortical  ,      939.0 
21  , ctx-rh-parsopercularis_2                               , cortical  ,      801.0 
22  , ctx-rh-parsopercularis_3                               , cortical  ,     1913.0 
23  , ctx-rh-parsopercularis_4                               , cortical  ,     1018.0 
28  , ctx-rh-rostralmiddlefrontal_5                          , cortical  ,     1259.0 
29  , ctx-rh-rostralmiddlefrontal_6                          , cortical  ,     1499.0 
407 , ctx-lh-lateraloccipital_2                              , cortical  ,      827.0 
406 , ctx-lh-lateraloccipital_1                              , cortical  ,      790.0 
405 , ctx-lh-pericalcarine_4                                 , cortical  ,      303.0 
404 , ctx-lh-pericalcarine_3                                 , cortical  ,      378.0 
403 , ctx-lh-pericalcarine_2                                 , cortical  ,      345.0 
402 , ctx-lh-pericalcarine_1                                 , cortical  ,      626.0 
401 , ctx-lh-cuneus_4                                        , cortical  ,      458.0 
400 , ctx-lh-cuneus_3                                        , cortical  ,      605.0 
409 , ctx-lh-lateraloccipital_4                              , cortical  ,      796.0 
408 , ctx-lh-lateraloccipital_3                              , cortical  ,      599.0 
379 , ctx-lh-inferiorparietal_4                              , cortical  ,     2376.0 
378 , ctx-lh-inferiorparietal_3                              , cortical  ,     1431.0 
371 , ctx-lh-superiorparietal_9                              , cortical  ,      767.0 
370 , ctx-lh-superiorparietal_8                              , cortical  ,      819.0 
373 , ctx-lh-superiorparietal_11                             , cortical  ,     1216.0 
372 , ctx-lh-superiorparietal_10                             , cortical  ,      598.0 
375 , ctx-lh-superiorparietal_13                             , cortical  ,      888.0 
374 , ctx-lh-superiorparietal_12                             , cortical  ,      460.0 
377 , ctx-lh-inferiorparietal_2                              , cortical  ,      870.0 
376 , ctx-lh-inferiorparietal_1                              , cortical  ,      781.0 
393 , ctx-lh-precuneus_6                                     , cortical  ,     1258.0 
392 , ctx-lh-precuneus_5                                     , cortical  ,     1042.0 
88  , ctx-rh-posteriorcingulate_3                            , cortical  ,      701.0 
89  , ctx-rh-posteriorcingulate_4                            , cortical  ,     1025.0 
397 , ctx-lh-precuneus_10                                    , cortical  ,     1571.0 
396 , ctx-lh-precuneus_9                                     , cortical  ,     1521.0 
395 , ctx-lh-precuneus_8                                     , cortical  ,     1662.0 
394 , ctx-lh-precuneus_7                                     , cortical  ,     1329.0 
82  , ctx-rh-rostralanteriorcingulate_2                      , cortical  ,      998.0 
181 , ctx-rh-parahippocampal_1                               , cortical  ,      790.0 
80  , ctx-rh-paracentral_6                                   , cortical  ,      598.0 
81  , ctx-rh-rostralanteriorcingulate_1                      , cortical  ,     1656.0 
86  , ctx-rh-posteriorcingulate_1                            , cortical  ,      723.0 
87  , ctx-rh-posteriorcingulate_2                            , cortical  ,     1196.0 
84  , ctx-rh-caudalanteriorcingulate_2                       , cortical  ,      981.0 
85  , ctx-rh-caudalanteriorcingulate_3                       , cortical  ,      702.0 
7   , ctx-rh-lateralorbitofrontal_7                          , cortical  ,     1328.0 
245 , Right-Hippocampus_Fimbria                              , subcortical,       90.0 
244 , Right-Hippocampus_HATA                                 , subcortical,       66.0 
247 , Right-Hippocampus_Hippocampal_fissure                  , subcortical,       85.0 
246 , Right-Hippocampus_Molecular_layer_HP                   , subcortical,      750.0 
241 , Right-Hippocampus_CA3                                  , subcortical,      309.0 
240 , Right-Hippocampus_CA1                                  , subcortical,      920.0 
243 , Right-Hippocampus_GCDG                                 , subcortical,      400.0 
242 , Right-Hippocampus_CA4                                  , subcortical,      382.0 
249 , Right-VentralDC                                        , subcortical,     3152.0 
248 , Right-Hippocampus_Tail                                 , subcortical,      867.0 
458 , ctx-lh-superiortemporal_4                              , cortical  ,     1256.0 
459 , ctx-lh-superiortemporal_5                              , cortical  ,      882.0 
450 , ctx-lh-middletemporal_8                                , cortical  ,     1802.0 
451 , ctx-lh-middletemporal_9                                , cortical  ,     1754.0 
452 , ctx-lh-bankssts_1                                      , cortical  ,     1044.0 
453 , ctx-lh-bankssts_2                                      , cortical  ,     1094.0 
454 , ctx-lh-bankssts_3                                      , cortical  ,     1578.0 
455 , ctx-lh-superiortemporal_1                              , cortical  ,      677.0 
456 , ctx-lh-superiortemporal_2                              , cortical  ,     1581.0 
457 , ctx-lh-superiortemporal_3                              , cortical  ,      600.0 
179 , ctx-rh-fusiform_7                                      , cortical  ,     1520.0 
178 , ctx-rh-fusiform_6                                      , cortical  ,     1638.0 
177 , ctx-rh-fusiform_5                                      , cortical  ,      867.0 
176 , ctx-rh-fusiform_4                                      , cortical  ,      869.0 
175 , ctx-rh-fusiform_3                                      , cortical  ,      992.0 
174 , ctx-rh-fusiform_2                                      , cortical  ,      631.0 
173 , ctx-rh-fusiform_1                                      , cortical  ,      993.0 
172 , ctx-rh-lingual_7                                       , cortical  ,      718.0 
171 , ctx-rh-lingual_6                                       , cortical  ,      769.0 
170 , ctx-rh-lingual_5                                       , cortical  ,      784.0 
182 , ctx-rh-parahippocampal_2                               , cortical  ,      502.0 
183 , ctx-rh-parahippocampal_3                               , cortical  ,     1009.0 
180 , ctx-rh-fusiform_8                                      , cortical  ,     3456.0 
2   , ctx-rh-lateralorbitofrontal_2                          , cortical  ,      955.0 
186 , ctx-rh-inferiortemporal_1                              , cortical  ,     1822.0 
187 , ctx-rh-inferiortemporal_2                              , cortical  ,     2452.0 
184 , ctx-rh-entorhinal_1                                    , cortical  ,     2235.0 
185 , ctx-rh-temporalpole_1                                  , cortical  ,     3068.0 
188 , ctx-rh-inferiortemporal_3                              , cortical  ,     1220.0 
189 , ctx-rh-inferiortemporal_4                              , cortical  ,     1435.0 
11  , ctx-rh-medialorbitofrontal_1                           , cortical  ,     1134.0 
10  , ctx-rh-frontalpole_1                                   , cortical  ,      950.0 
13  , ctx-rh-medialorbitofrontal_3                           , cortical  ,     1021.0 
12  , ctx-rh-medialorbitofrontal_2                           , cortical  ,     1587.0 
15  , ctx-rh-medialorbitofrontal_5                           , cortical  ,     1457.0 
14  , ctx-rh-medialorbitofrontal_4                           , cortical  ,      796.0 
17  , ctx-rh-parstriangularis_2                              , cortical  ,     1188.0 
16  , ctx-rh-parstriangularis_1                              , cortical  ,      782.0 
19  , ctx-rh-parstriangularis_4                              , cortical  ,     1476.0 
18  , ctx-rh-parstriangularis_3                              , cortical  ,     1642.0 
322 , ctx-lh-precentral_14                                   , cortical  ,      438.0 
323 , ctx-lh-precentral_15                                   , cortical  ,      338.0 
320 , ctx-lh-precentral_12                                   , cortical  ,      662.0 
321 , ctx-lh-precentral_13                                   , cortical  ,      867.0 
326 , ctx-lh-paracentral_2                                   , cortical  ,      551.0 
327 , ctx-lh-paracentral_3                                   , cortical  ,      462.0 
324 , ctx-lh-precentral_16                                   , cortical  ,      472.0 
325 , ctx-lh-paracentral_1                                   , cortical  ,      598.0 
328 , ctx-lh-paracentral_4                                   , cortical  ,      716.0 
329 , ctx-lh-paracentral_5                                   , cortical  ,      812.0 
201 , ctx-rh-middletemporal_9                                , cortical  ,     1720.0 
200 , ctx-rh-middletemporal_8                                , cortical  ,     1751.0 
203 , ctx-rh-bankssts_2                                      , cortical  ,      944.0 
202 , ctx-rh-bankssts_1                                      , cortical  ,      806.0 
205 , ctx-rh-superiortemporal_1                              , cortical  ,      663.0 
204 , ctx-rh-bankssts_3                                      , cortical  ,     1392.0 
207 , ctx-rh-superiortemporal_3                              , cortical  ,     1089.0 
206 , ctx-rh-superiortemporal_2                              , cortical  ,     1349.0 
209 , ctx-rh-superiortemporal_5                              , cortical  ,      908.0 
208 , ctx-rh-superiortemporal_4                              , cortical  ,     1285.0 
77  , ctx-rh-paracentral_3                                   , cortical  ,      620.0 
76  , ctx-rh-paracentral_2                                   , cortical  ,      490.0 
75  , ctx-rh-paracentral_1                                   , cortical  ,      480.0 
74  , ctx-rh-precentral_16                                   , cortical  ,      388.0 
73  , ctx-rh-precentral_15                                   , cortical  ,      335.0 
72  , ctx-rh-precentral_14                                   , cortical  ,      478.0 
71  , ctx-rh-precentral_13                                   , cortical  ,     1122.0 
70  , ctx-rh-precentral_12                                   , cortical  ,      687.0 
79  , ctx-rh-paracentral_5                                   , cortical  ,      757.0 
78  , ctx-rh-paracentral_4                                   , cortical  ,     1268.0 
8   , ctx-rh-parsorbitalis_1                                 , cortical  ,     1809.0 
120 , ctx-rh-superiorparietal_8                              , cortical  ,      849.0 
121 , ctx-rh-superiorparietal_9                              , cortical  ,      880.0 
122 , ctx-rh-superiorparietal_10                             , cortical  ,      620.0 
123 , ctx-rh-superiorparietal_11                             , cortical  ,     1341.0 
124 , ctx-rh-superiorparietal_12                             , cortical  ,      539.0 
125 , ctx-rh-superiorparietal_13                             , cortical  ,      660.0 
126 , ctx-rh-inferiorparietal_1                              , cortical  ,     1054.0 
127 , ctx-rh-inferiorparietal_2                              , cortical  ,      932.0 
128 , ctx-rh-inferiorparietal_3                              , cortical  ,     1196.0 
129 , ctx-rh-inferiorparietal_4                              , cortical  ,     1800.0 
414 , ctx-lh-lateraloccipital_9                              , cortical  ,      950.0 
415 , ctx-lh-lateraloccipital_10                             , cortical  ,     1983.0 
416 , ctx-lh-lingual_1                                       , cortical  ,      826.0 
417 , ctx-lh-lingual_2                                       , cortical  ,      711.0 
410 , ctx-lh-lateraloccipital_5                              , cortical  ,      761.0 
411 , ctx-lh-lateraloccipital_6                              , cortical  ,     1643.0 
412 , ctx-lh-lateraloccipital_7                              , cortical  ,      997.0 
413 , ctx-lh-lateraloccipital_8                              , cortical  ,     1225.0 
498 , Left-Hippocampus_Tail                                  , subcortical,      846.0 
418 , ctx-lh-lingual_3                                       , cortical  ,      619.0 
419 , ctx-lh-lingual_4                                       , cortical  ,      540.0 
499 , Left-VentralDC                                         , subcortical,     2949.0 
319 , ctx-lh-precentral_11                                   , cortical  ,      293.0 
318 , ctx-lh-precentral_10                                   , cortical  ,      707.0 
313 , ctx-lh-precentral_5                                    , cortical  ,      879.0 
312 , ctx-lh-precentral_4                                    , cortical  ,     1071.0 
311 , ctx-lh-precentral_3                                    , cortical  ,      478.0 
310 , ctx-lh-precentral_2                                    , cortical  ,      805.0 
317 , ctx-lh-precentral_9                                    , cortical  ,      560.0 
