index, name                                                   , type      , volume-mm3 
59  , Right-Caudate                                          , subcortical,     4874.0 
58  , Right-Thalamus_Proper                                  , subcortical,    10390.0 
55  , ctx-rh-transversetemporal_1                            , cortical  ,      862.0 
54  , ctx-rh-superiortemporal_2                              , cortical  ,     6454.0 
57  , ctx-rh-insula_2                                        , cortical  ,     4207.0 
56  , ctx-rh-insula_1                                        , cortical  ,     3696.0 
51  , ctx-rh-middletemporal_2                                , cortical  ,     8577.0 
50  , ctx-rh-middletemporal_1                                , cortical  ,     4658.0 
53  , ctx-rh-superiortemporal_1                              , cortical  ,     6877.0 
52  , ctx-rh-bankssts_1                                      , cortical  ,     3142.0 
115 , ctx-lh-pericalcarine_1                                 , cortical  ,     1652.0 
114 , ctx-lh-cuneus_1                                        , cortical  ,     2214.0 
88  , ctx-lh-rostralmiddlefrontal_2                          , cortical  ,     6678.0 
89  , ctx-lh-superiorfrontal_1                               , cortical  ,     6815.0 
111 , ctx-lh-inferiorparietal_3                              , cortical  ,     3436.0 
110 , ctx-lh-inferiorparietal_2                              , cortical  ,     2819.0 
113 , ctx-lh-precuneus_2                                     , cortical  ,     5754.0 
112 , ctx-lh-precuneus_1                                     , cortical  ,     5960.0 
82  , ctx-lh-frontalpole_1                                   , cortical  ,      731.0 
83  , ctx-lh-medialorbitofrontal_1                           , cortical  ,     2973.0 
80  , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     4816.0 
81  , ctx-lh-parsorbitalis_1                                 , cortical  ,     2924.0 
119 , ctx-lh-lingual_1                                       , cortical  ,     2729.0 
118 , ctx-lh-lateraloccipital_3                              , cortical  ,     2935.0 
